,Title,Maker,Identification_Numbers,Categories,Entities,Acquisition_and_Important_Dates,Description,Dating,School_or_Style,Materials_Used_in_Production,Website
37,The Head of Charles II in an Oak Tree,"Potter: Talor, William",Accession number: C.216-1928|Primary reference Number: 73169|Old object nu ber: 3325|Stable URI,Lead-glazed earthenware|Slipware,Dish|charger,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Earthenware, slip-coated, slip-trailed and lea-glazed; Charles II's head in the Boscobel Oak flanked by a lion and a unicorn Pale red arthenware, thrown, and coated on the front with pale cream slip, and slip-trailed in dark red-brown, pale orange and pale cream slips under yellow lead-glaze. The reverse is unglazed. Circular with a broad slightly sloping rim, concave sides, and flat central area. The well is decorated with the head of Charles II in the Boscobel Oak flanked by a lion rampant and a unicorn. On the rim there is a trellis border with a panel at the bottom containing the name 'WILLIAM TALOR'.",Late 17th Century|Charles II|Circa 1660 CE - 1680 CE,NA,pale red Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/73169
38,NA,Production: Drie Posteleyne Astonne,Accession number: C.2498-1928|Primary reference Number: 73600|Old object number: 1318|Stable URI,Tin-glazed earthenware|Delftware,Vase,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue in Chinese style Pale buff earthenware, thrown, tin-glazed and painted in blue. The large oviform vase has a short cylindrical neck. The sides are decorated with eight vertical panels painted alternately with Chinese figures in gardens and landscapes or a large vase of flowers and foliage flanked by a vase of flowers on a table and flowers in a three-legged cauldron. Below there is a horizontal band of scrolls with pendant leaves, and round the shoulder a border of formal flower heads and scrolls.",Late 17th Century|Circa 1685 CE - 1700 CE,Chinese,pale bff Earthenware|Tin-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/73600
39,NA,Pottery: Unidentified Orvieto pottery,Accession number: C.18-1910|Primary reference Number: 47108|Stable URI,Earthenware,Jug,"Method of acquisition: Given (1910-05-30) by Brown, Richard Sneade","Medieval jug of unglazed earthenware with a squat ovoid body, horizontally ridged on the exterior. Pale cream, unglazed earthenware. Shape 1. Squat ovoid body, horizontally ridged on the exterior, with short cylindrical neck; broad strap handle; and spout formed by a strip of clay, folded and pressed to the neck and shoulder.",13th Century|Circa 1200 CE - 1250 CE,Medieval,pale buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/47108
40,NA,Potter: Unknown,Accession number: C.108-1935|Primary reference Number: 71286|Old accession number: 4-1935|Old object number: G.ADD 59|Old number: BP.138|Stable URI,Fritware (stonepaste),Dish|Islamic pottery|Lustreware,"Method of acquisition: Bought (1935) by Brangwyn, Frank","Fritware with cream and blue glazes painted with turquoise, blue and lustre Pinkish-buff fritware, wheel thrown, with a pitted, blue and cream crazed glaze painted under the glaze with turquoise and blue pigment and over the glaze in lustre.
Shape: hemispherical dish with a flange rim and low foot ring.
Interior: on the rim, half crescents are painted in lustre, with irregular blue stains from the exterior glaze. A roughly painted painted blue cross with turquoise diagonal stripes in the four quarters covers the interior. Broadly coinciding with the blue cross, vertical friezes of Arabic script (kufic) are painted in lustre. Each quarter is divided into three triangular panels, with the central panel, roughly coinciding with the turquoise under glaze paint, containing an articulated palmette on a scrolling vine, painted in reserve against a lustred background. The flanking panels each contain scrolling vegetation painted in lustre.
Exterior: a blue glaze runs unevenly over the body to a point just above the foot ring.",Late 12th Century|Circa 1179 CE - 1198 CE,Seljuk|Monumental style,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/71286
41,NA,Pottery: Unidentified Orvieto pottery,Accession number: C.47-1927|Primary reference Number: 47233|Stable URI,Tin-glazed earthenware|Maiolica,Jug,"Method of acquisition: Bequeathed (1927) by Harris, F. Leverton, The Right Hon.","Late-medieval maiolica jug, partly lead-glazed and partly tin-glazed and painted in black and green with a coat-of arms flanked by applied pine cones Pinkish-buff earthenware (little visible); the interior is lead-glazed yellowish-brown; the exterior is tin-glazed pale beige. Painted in black and green. Shape 19. Squat piriform body with short cylindrical neck, expanding towards the rim which is pinched at the front to form a lip; loop handle of shallow D section.
The front is decorated with a relief shield bearing a saddle-backed boar and above it the letters `A' (or `R') and `n', between two relief pine-cones. On each side of the handle there are oblique dashes between vertical black lines. Below are two horizontal black bands; on the neck, a green chain with two black bands above; and on the handle, horizontal stripes of alternate colours.",13th Century|14th Century|Medieval|Circa 1275 CE - 1375 CE,maiolica arcaica,Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/47233
42,Pipe in the form of a fish,Pottery: Unidentified Staffordshire Pottery,Accession number: EC.2-1941|Primary reference Number: 76905|Stable URI,Lead-glazed earthenware,Pipe,"Method of acquisition: Given (1941-03-22) by Partridge, Frank","Cream-coloured earthenware, moulded, and decorated with green, yellow, and yellowish-brown lead-glazes.|Whieldon ware.",Third quarter of 18th century|George II|George III|Circa 1755 CE - 1770 CE,Rococo,Lead-glaze|Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/76905
43,NA,NA,Accession number: C.1933 & A-1928|Primary reference Number: 76533|Stable URI,Lead-glazed earthenware,Coffee pot,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/76533
44,NA,"Potter: Herrmann, Peter|Decorator: Labhardt, Johann Martin",Accession number: C.1911-1928|Primary reference Number: 72845|Old object number: 2377|Stable URI,Lead-glazed earthenware|Swiss slipware,Churn,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr",NA,Mid 19th century|Circa 1849 CE - 1853 CE,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/72845
45,NA,Potter: Unknown,Accession number: C.1786-1928|Primary reference Number: 72610|Stable URI,Fritware (stonepaste),Jar|Islamic pottery|Enamelled ware,"Method of acquisition: Bequeathed (1928) by Glaisher, J. W. L., Dr","Fritware coated in a white glaze painted with polychrome enamels Fritware, wheel thrown, coated in a white glaze painted with red, yellow, blue, green and brown enamels
Shape: inverted pear-shaped body, ascending onto a collared neck and indented rectangular rim, sits on a flat disc base that protrudes from the lower body.
Exterior: on the body three decorative friezes incorporate medallions painted with various scenes. On the upper register quatre foils with polychrome floral sprays and lozenges with square ends containing brown buildings flanked by trees, all painted on a red cross-hatched ground. The central frieze incorporates lobbed diamonds containing vases of polychrome flowers or landscape scenes, some of which are framed, in pink or blue. The spandrels between these medallions contain floral sprays. On the lowest resister lobbed diamonds contain rosettes reserved in blue of brown floral sprays. Dividing these friezes and on the neck, bands of circles, lozenges or squares, with the red examples often defined by a white outline and reserved in blue. The rim is partially covered with yellow and just above the base a band of brown scrolling vegetation is painted. Glaze runs over the lower body and foot ring unevenly.
Interior: a green glaze coats the body, running over onto the white glaze of the neck in one place.",19th century|Circa 1800 CE - Circa 1899 CE,Qajar,Fritware,https://data.fitzmuseum.cam.ac.uk/id/object/72610
46,NA,Pottery: Unidentified Liverpool pottery,Accession number: C.1546-1928|Primary reference Number: 72197|Old object number: 4540|Stable URI,Tin-glazed earthenware|English delftware,Sauce boat,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Tin-glazed earthenware painted in blue Buff earthenware press-moulded, with applied moulded handles, tin-glazed and painted in blue. The boat is oval with shaped and pointed lips at each end, which are slightly fluted underneath, and two fox-shaped handles on opposing sides. The interior is decorated with a central medallion surrounded by Oriental-style flowers and in each of the lips there is a stylized plant. The top edge is decorated with a diaper border. The outside has floral sprays on each side and stripes of a scroll pattern reserved in a blue ground on the underside of the lipsl.",Mid 18th Century|George II|Circa 1745 CE - 1760 CE,Rococo,bluish-white Tin-glaze|buff Earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/72197
47,Cobbler whistling to his Starling,"Factory: Niderviller Porcelain Manufactory|Modeller: Cyfflé, Paul Louis",Accession number: C.43-1981|Primary reference Number: 75076|Stable URI,Hard-paste porcelain,Figure,"Method of acquisition: Given (1981-10-12) by Rietberg, Shelagh, Countess","Hard-paste biscuit porcelain figure of a seated cobbler whistling to a starling in a cage hanging above him Hard-paste biscuit porcelain, press-moulded. The cobbler is seated on a stool, mending a shoe held on his left knee. His head is turned to the right as he whistles to a starling in a cage suspended from a beam at the top of the wall behind him. A drape runs across the top of the roof and down the right side of the wall. On the cobbler's left there is a log, and a small table, and on his right, a shallow tub, a shoe, and a hammer lying on the ground.",Late 18th century|Early 19th Century|Circa 1780 CE - 1827 CE,NA,biscuit Hard-paste porcelain,https://data.fitzmuseum.cam.ac.uk/id/object/75076
48,NA,"Production: Herrmann, Daniel",Accession number: C.1942 & A-1928|Primary reference Number: 76539|Old object number: 3503|Stable URI,Lead-glazed earthenware,Sugar bowl,NA,NA,NA,NA,NA,https://data.fitzmuseum.cam.ac.uk/id/object/76539
49,NA,Factory: Unidentified Staffordshire Pottery,Accession number: C.653-1928|Primary reference Number: 75756|Old catalogue number: 4316|Stable URI,Lead-glazed earthenware|Agate ware,Sauce boat,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Agate ware, press-moulded and lead glazed. Agate earthenware made with dark red, white and slate-blue clays and covered with a clear lead-glaze. The press-moulded sauce-boat is a bulbous shape. It has a wavy rim, a loop handle and three feet, moulded to resemble paws with lion masks.",Mid-18th Century|George II|George III|Circa 1750 CE - Circa 1765 CE,Rococo,agate effect created by wedging together different coloured clays Earthenware|Lead-glaze,https://data.fitzmuseum.cam.ac.uk/id/object/75756
50,NA,"Factory: Wedgwood, Josiah|Printer: Green, Guy",Accession number: C.730 & A-1928|Primary reference Number: 11711|Old object number: 4124|Stable URI,Lead-glazed earthenware,Teapot|Cover|Creamware|Teaware,"Method of acquisition: Bequeathed (1928-12-07) by Glaisher, J. W. L., Dr","Cream-coloured earthenware (Queen's ware), transfer-printed in black. Globular with leaf-wrapped spout, loop handle with a vertical ridge and kick up at the bottom, and circular lid with pierced, globular knob. On side there is a three-quarter length portrait of John Wesley preaching, flanked by ribbons sprouting foliage, inscribed on the left 'JOHN WESLEY, M.A. FELLOW', and on the right, 'LINCOLN COLLEGE OXFORD'. On the other side are the words 'Let your/Conversation be/as becometh the Gospel of/CHRIST' within a frame of rococo scrolls among which is a music-book and a volume entitled WATTS'S/ HYMNS' at the top; on the left, a cartouche with St Peter and a cock crowing; and on the right, a cartouche with the Good Samaritan; on the lid there are three winged cherub's heads.",Late 18th century|George III|Production date: circa AD 1775,Rococo,Lead-glaze|Cream-coloured earthenware,https://data.fitzmuseum.cam.ac.uk/id/object/11711
